[12:58:04] Type: PROCESS_CREATED | Details: filecoauth | Severity: LOW
[EID-1098] [15:17:53] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1099] [15:17:56] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1100] [15:18:00] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1101] [15:18:03] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1102] [15:18:07] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1103] [15:18:11] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1104] [15:18:14] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1105] [15:18:17] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1106] [15:18:20] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1107] [15:18:24] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1108] [15:18:28] Type: PROCESS_CREATED | Details: chrome.exe -> chrome.exe | Severity: LOW | MITRE: - (-)
[EID-1109] [15:18:28] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1110] [15:18:32] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1111] [15:18:36] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1112] [15:18:39] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1113] [15:18:43] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1114] [15:18:46] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1115] [15:18:51] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1116] [15:18:54] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1117] [15:18:58] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1118] [15:19:02] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1119] [15:19:05] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1120] [15:19:09] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1121] [15:19:12] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1122] [15:19:16] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1123] [15:19:20] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1124] [15:19:24] Type: PROCESS_CREATED | Details: chrome.exe -> chrome.exe | Severity: LOW | MITRE: - (-)
[EID-1125] [15:19:24] Type: PROCESS_CREATED | Details: chrome.exe -> chrome.exe | Severity: LOW | MITRE: - (-)
[EID-1126] [15:19:24] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1127] [15:19:24] Type: PROCESS_CREATED | Details: chrome.exe -> chrome.exe | Severity: LOW | MITRE: - (-)
[EID-1128] [15:19:27] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1129] [15:19:27] Type: PROCESS_CREATED | Details: chrome.exe -> chrome.exe | Severity: LOW | MITRE: - (-)
[EID-1130] [15:19:31] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1131] [15:19:35] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1132] [15:19:39] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1133] [15:19:42] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1134] [15:19:45] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1135] [15:19:48] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1136] [15:19:52] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1137] [15:19:55] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1138] [15:19:58] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1139] [15:20:02] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1140] [15:20:06] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1141] [15:20:09] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1142] [15:20:12] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1143] [15:20:16] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1144] [15:20:19] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
